Kanji,Frequency
倡,55
儿,78
煬,39
継,6334
壤,4
并,42
郵,2307
嗄,138
垜,2
内,42969
邨,144
遑,44
栫,2
勇,4778
緋,467
砺,43
篖,1
鰓,394
綉,19
郢,45
麹,420
莨,72
椎,1841
獵,4
更,3338
伍,290
満,8247
垪,3
鴉,234
珎,32
儖,2
勍,3
蓿,27
雲,10492
父,7887
奏,6258
祠,292
鮬,1
頗,126
彊,46
陏,2
柄,11306
挿,1677
窟,684
彜,3
狡,186
淵,1052
逗,66
苳,15
塀,689
亭,2023
蕷,129
覲,45
挘,2
衍,173
築,6179
澤,15
劍,4
齪,30
冏,26
藷,133
蛭,272
黏,31
耳,5680
鰌,148
韵,19
栄,6763
剔,52
蕎,530
償,2089
揆,407
逐,506
痢,568
它,7
乞,1594
蜥,138
哽,9
曠,237
繆,39
簸,71
贈,2201
膣,148
炮,186
隈,591
弔,625
截,275
帆,1454
八,33890
粤,30
楓,311
厴,6
桛,9
榴,349
腴,22
亂,6
甕,236
艇,574
嚶,33
緖,2
買,8848
蓙,120
怨,656
絅,23
桓,267
勉,1179
欟,6
汚,2697
紵,32
旱,209
鬮,106
廠,115
諫,360
驎,5
燦,85
臥,1268
収,10655
笂,2
橉,1
蜩,37
薇,306
萵,66
醒,811
棉,74
誤,3140
效,4
吟,1453
靖,212
醐,571
鍄,2
攜,3
始,12580
軒,2093
偏,2504
他,44680
浮,14492
廷,2851
椢,1
埖,2
掏,82
芸,12356
樔,18
聶,10
瀰,39
陝,279
楾,33
幤,3
粟,962
遖,24
測,5992
倉,7484
豫,22
腕,4131
質,26669
覿,33
沖,2959
眦,42
癩,138
鵁,4
噯,7
欠,5456
較,1862
移,9269
吾,2411
浴,2404
弃,9
顰,174
頓,871
瓣,100
蝶,1828
烈,1162
褄,408
先,24523
岨,83
義,28117
孚,53
壕,198
杞,90
囈,20
怱,52
命,19258
籀,35
貽,39
陜,12
即,3179
檎,103
刻,6726
跚,59
盃,749
干,4765
策,5536
溥,31
酎,230
計,17440
唯,1558
鰶,3
狹,4
舜,255
稠,101
湃,39
踐,4
甃,38
隶,9
屏,805
宸,358
褒,575
輜,62
祉,1128
保,23767
便,7951
冉,125
劣,2526
夫,13079
洫,2
手,81066
鈞,94
卅,8
喜,4155
岬,580
繕,440
畄,3
皺,456
鑒,42
都,25708
瀋,54
辜,26
逖,8
漲,41
川,25849
廚,4
偸,162
蘇,2200
悦,528
澱,460
筴,2
隆,1825
亮,212
鵯,65
榎,163
幔,59
醤,1238
維,4984
泛,84
宴,2515
連,25731
悖,99
釛,2
沒,2
疵,381
狛,95
彭,91
直,18773
簽,21
蓖,27
斜,3335
磚,36
莠,11
腊,7
副,11908
廴,31
淘,212
很,8
德,1
酢,2252
髮,4
旛,61
粭,2
鮠,30
祇,1397
嚔,17
鴫,192
軟,2830
痲,44
茄,311
倫,1252
兇,154
稽,1756
苺,130
鏥,2
薗,783
皸,22
存,9713
錬,648
緒,3839
剩,4
酋,24
覓,33
衝,2379
叔,611
咽,466
境,8253
擤,2
廈,71
秋,15880
蝌,30
莓,14
崚,4
寥,62
后,2103
恣,156
鳬,4
脹,445
遯,32
沺,2
塾,590
